computed_at,evidence_id,case_id,confidence_score,confidence_level
2026-07-25T16:24:18.086Z,EVID_00005,CASE_EE8250FB76,100.0,VERY_HIGH
2026-07-25T17:17:05.521Z,EVID_00007,CASE_185915593C,85.6,VERY_HIGH
2026-07-25T17:18:23.493Z,EVID_00008,CASE_185915593C,86.7,VERY_HIGH
2026-07-25T17:18:50.733Z,EVID_00009,CASE_185915593C,94.1,VERY_HIGH
2026-07-25T17:19:50.350Z,EVID_00010,CASE_185915593C,84.4,VERY_HIGH
2026-07-25T17:20:21.201Z,EVID_00011,CASE_185915593C,86.3,VERY_HIGH
2026-07-25T17:20:49.548Z,EVID_00012,CASE_185915593C,84.4,VERY_HIGH
2026-07-25T17:26:17.646Z,EVID_00013,CASE_185915593C,100.0,VERY_HIGH
2026-07-25T17:26:20.619Z,EVID_00014,CASE_185915593C,100.0,VERY_HIGH
2026-08-03T14:00:03.392Z,EVID_00015,CASE_1A1BF573F3,83.6,VERY_HIGH
2026-08-03T14:00:14.762Z,EVID_00016,CASE_1A1BF573F3,84.7,VERY_HIGH
2026-08-03T14:00:18.207Z,EVID_00017,CASE_1A1BF573F3,92.9,VERY_HIGH
2026-08-03T14:00:22.373Z,EVID_00018,CASE_1A1BF573F3,82.8,VERY_HIGH
2026-08-03T14:00:26.319Z,EVID_00019,CASE_1A1BF573F3,83.4,VERY_HIGH
2026-08-03T14:00:31.152Z,EVID_00020,CASE_1A1BF573F3,81.6,VERY_HIGH
2026-08-03T14:00:53.699Z,EVID_00021,CASE_1A1BF573F3,100.0,VERY_HIGH
2026-08-03T14:00:54.473Z,EVID_00022,CASE_1A1BF573F3,100.0,VERY_HIGH
2026-08-03T14:00:55.114Z,EVID_00023,CASE_1A1BF573F3,100.0,VERY_HIGH
2026-08-03T14:00:57.492Z,EVID_00024,CASE_1A1BF573F3,87.6,VERY_HIGH
2026-08-03T14:01:00.836Z,EVID_00025,CASE_1A1BF573F3,89.1,VERY_HIGH
2026-08-20T14:46:36.047Z,EVID_00006,CASE_EE8250FB76,50.0,MODERATE
2026-08-21T03:25:44.216Z,EVID_00015,CASE_1A1BF573F3,77.5,HIGH
2026-08-21T03:25:44.225Z,EVID_00016,CASE_1A1BF573F3,77.5,HIGH
2026-08-21T03:25:44.230Z,EVID_00017,CASE_1A1BF573F3,77.5,HIGH
2026-08-21T03:25:44.235Z,EVID_00018,CASE_1A1BF573F3,77.5,HIGH
2026-08-21T03:25:44.244Z,EVID_00019,CASE_1A1BF573F3,77.5,HIGH
2026-08-21T03:27:25.531Z,EVID_00015,CASE_1A1BF573F3,83.6,VERY_HIGH
2026-08-21T03:27:25.790Z,EVID_00016,CASE_1A1BF573F3,84.7,VERY_HIGH
2026-08-21T03:27:25.880Z,EVID_00017,CASE_1A1BF573F3,92.9,VERY_HIGH
2026-08-21T03:27:25.967Z,EVID_00018,CASE_1A1BF573F3,82.8,VERY_HIGH
2026-08-21T03:27:26.051Z,EVID_00019,CASE_1A1BF573F3,83.2,VERY_HIGH
2026-08-21T06:37:35.199Z,EVID_00026,CASE_0CD406813C,82.0,VERY_HIGH
2026-08-21T06:37:35.589Z,EVID_00027,CASE_0CD406813C,100.0,VERY_HIGH
2026-08-21T06:37:35.628Z,EVID_00028,CASE_0CD406813C,100.0,VERY_HIGH
2026-08-21T06:37:35.826Z,EVID_00029,CASE_0CD406813C,100.0,VERY_HIGH
2026-08-21T06:37:39.848Z,EVID_00030,CASE_0CD406813C,86.7,VERY_HIGH
2026-08-21T06:37:43.579Z,EVID_00031,CASE_0CD406813C,87.0,VERY_HIGH
2026-08-21T06:37:48.060Z,EVID_00032,CASE_0CD406813C,79.3,HIGH
2026-08-21T06:38:44.658Z,EVID_00033,CASE_0CD406813C,100.0,VERY_HIGH
2026-08-21T06:43:01.050Z,EVID_00034,CASE_4B2A51A300,81.3,VERY_HIGH
2026-08-21T06:43:01.314Z,EVID_00035,CASE_4B2A51A300,100.0,VERY_HIGH
2026-08-21T06:43:01.360Z,EVID_00036,CASE_4B2A51A300,100.0,VERY_HIGH
2026-08-21T06:43:01.423Z,EVID_00037,CASE_4B2A51A300,100.0,VERY_HIGH
2026-08-21T06:43:07.943Z,EVID_00038,CASE_4B2A51A300,86.5,VERY_HIGH
2026-08-21T06:43:11.535Z,EVID_00039,CASE_4B2A51A300,86.6,VERY_HIGH
2026-08-21T06:43:14.990Z,EVID_00040,CASE_4B2A51A300,80.5,VERY_HIGH
2026-08-21T06:43:15.089Z,EVID_00041,CASE_4B2A51A300,100.0,VERY_HIGH
2026-08-21T06:43:15.146Z,EVID_00042,CASE_4B2A51A300,100.0,VERY_HIGH
